SampleID	Barcode	Lane	Plate	Library	Position	PCRBarcode
HV_105_1	HV_105	12	10	25	A1	A
HV_106_1	HV_106	12	10	25	B1	B
HV_107_1	HV_107	12	10	25	C1	C
HV_108_1	HV_108	12	10	25	D1	D
HV_109_1	HV_109	12	10	25	E1	E
HV_110_1	HV_110	12	10	25	F1	F
HV_111_1	HV_111	12	10	25	G1	G
JR1795_1003_POSITIVE_P9	JR1795_1003_POSITIVE	12	10	25	H1	H
HV_110_3	HV_110	12	10	26	A5	A
HV_111_3	HV_111	12	10	26	B5	B
HV_105_3	HV_105	12	10	26	C5	C
HV_106_3	HV_106	12	10	26	D5	D
HV_107_3	HV_107	12	10	26	E5	E
HV_108_3	HV_108	12	10	26	F5	F
HV_109_3	HV_109	12	10	26	G5	G
HV_108_5	HV_108	12	10	27	A9	A
HV_109_5	HV_109	12	10	27	B9	B
HV_110_5	HV_110	12	10	27	C9	C
HV_111_5	HV_111	12	10	27	D9	D
HV_105_5	HV_105	12	10	27	E9	E
HV_106_5	HV_106	12	10	27	F9	F
HV_107_5	HV_107	12	10	27	G9	G
